pos,code,info_length
Verb,V-AMP-NSN,6
Verb,V-2LAI-1S,6
Verb,V-2RAI-2S,6
Verb,V-PNP-GSN,6
Verb,V-AAP-APN,6
Verb,V-PMP-ASF,6
Verb,V-APP-ASF,6
Verb,V-2AMS-3P,6
Verb,V-RAP-GSM,6
Verb,V-ADP-NPM,6
Verb,V-2AOI-2P,6
Verb,V-2FOI-3S,6
Verb,V-RPP-GPF,6
Verb,V-ANP-NSM,6
Verb,V-PPP-GSN,6
Verb,V-PEP-NPF,6
Verb,V-RAP-DSN,6
Verb,V-AOP-GPM,6
Verb,V-RAP-GSF,6
Verb,V-2AMI-2S,6
Verb,V-2AMI-2P,6
Verb,V-PPP-DSM,6
Verb,V-PMP-DSM,6
Verb,V-RAP-NSN,6
Verb,V-PMP-APM,6
