id,parsed_id,word,simplified_word,unicode,count
16880,16880,CU/LWN,culwn,ξύλων,5
16896,596,*(\ON,on,Ὃν,7
16898,16898,FILH/SW,filhsw,φιλήσω,2
16901,16901,KRATH/SATE,krathsate,κρατήσατε,3
16909,16909,*XAI=RE,xaire,Χαῖρε,5
16912,16912,KATEFI/LHSEN,katefilhsen,κατεφίλησεν,3
16922,16922,PA/REI,parei,πάρει,1
16925,16925,E)PE/BALON,epebalon,ἐπέβαλον,6
16932,16932,E)KRA/THSAN,ekrathsan,ἐκράτησαν,4
16943,16943,A)PE/SPASEN,apespasen,ἀπέσπασεν,1
16948,16948,PATA/CAS,patacas,πατάξας,3
16953,16953,A)FEI=LEN,afeilen,ἀφεῖλεν,3
16956,16956,W)TI/ON,wtion,ὠτίον,4
16962,16962,*)APO/STREYO/N,apostreyon,Ἀπόστρεψόν,1
16976,16976,MAXAI/RA|,maxaira,μαχαίρᾳ,5
16977,16977,A)POQANOU=NTAI,apoqanountai,ἀποθανοῦνται,1
